subject,feature_set,classifier,accuracy,f1_macro,best_params
A06,time,LDA,0.25862068965517243,0.2533870967741936,"{'classifier__shrinkage': 0.1, 'classifier__solver': 'lsqr'}"
A06,time,SVM,0.25862068965517243,0.2510248372317338,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,time,RandomForest,0.3103448275862069,0.311624649859944,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
A06,time,MLP,0.2413793103448276,0.23906015742128936,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant'}"
A06,time,Ensemble,0.20689655172413793,0.20791439743052645,N/A
A06,erd_ers,LDA,0.3448275862068966,0.34745722376906785,"{'classifier__shrinkage': 0.7000000000000001, 'classifier__solver': 'lsqr'}"
A06,erd_ers,SVM,0.3620689655172414,0.33117026651509407,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,erd_ers,RandomForest,0.3275862068965517,0.3289746543778802,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
A06,erd_ers,MLP,0.29310344827586204,0.25688405797101443,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant'}"
A06,erd_ers,Ensemble,0.3275862068965517,0.3100858818600754,N/A
A06,bandpower,LDA,0.41379310344827586,0.40767947291862755,"{'classifier__shrinkage': 0.1, 'classifier__solver': 'lsqr'}"
A06,bandpower,SVM,0.3275862068965517,0.3155771699417399,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,bandpower,RandomForest,0.2413793103448276,0.2529351395730706,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}"
A06,bandpower,MLP,0.3448275862068966,0.34519387422613235,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
A06,bandpower,Ensemble,0.3103448275862069,0.30900383141762455,N/A
A06,csp,LDA,0.5172413793103449,0.5190637065637066,"{'classifier__shrinkage': 'auto', 'classifier__solver': 'lsqr'}"
A06,csp,SVM,0.5172413793103449,0.5213259441707718,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,csp,RandomForest,0.5344827586206896,0.5201388888888889,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}"
A06,csp,MLP,0.5172413793103449,0.5243018018018019,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
A06,csp,Ensemble,0.5344827586206896,0.5402522880971157,N/A
A06,riemann,LDA,0.6896551724137931,0.6901882640029191,"{'classifier__shrinkage': 0.7000000000000001, 'classifier__solver': 'lsqr'}"
A06,riemann,SVM,0.6551724137931034,0.6570660522273425,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}"
A06,riemann,RandomForest,0.5862068965517241,0.5899159663865546,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
A06,riemann,MLP,0.6206896551724138,0.6174369412515964,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
A06,riemann,Ensemble,0.6379310344827587,0.6352940841087393,N/A
A06,combined_pca,LDA,0.3620689655172414,0.3381003694581281,"{'classifier__shrinkage': 0.1, 'classifier__solver': 'lsqr'}"
A06,combined_pca,SVM,0.43103448275862066,0.40821870015948963,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,combined_pca,RandomForest,0.3793103448275862,0.3797675026123302,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
A06,combined_pca,MLP,0.4482758620689655,0.42984189723320154,"{'classifier__activation': 'relu', 'classifier__alpha': 0.01, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate': 'constant'}"
A06,combined_pca,Ensemble,0.41379310344827586,0.4007820136852395,N/A
A06,combined_lda,LDA,1.0,1.0,"{'classifier__shrinkage': None, 'classifier__solver': 'svd'}"
A06,combined_lda,SVM,1.0,1.0,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A06,combined_lda,RandomForest,1.0,1.0,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}"
A06,combined_lda,MLP,1.0,1.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
A06,combined_lda,Ensemble,1.0,1.0,N/A
